DTE,BARRIS,TOTAL,CAPDONA,UNADONA,DUESDONES,TRESDONES,CUATREDONESOMES
1,1. el Raval,17503,4275,7898,3119,1292,919
1,2. el Barri Gòtic,6892,1848,3267,1232,365,180
1,3. la Barceloneta,7115,1529,3966,1183,335,102
1,"4. Sant Pere, Santa Caterina i la Ribera",10138,2299,5311,1756,564,208
2,5. el Fort Pienc,13123,1890,7171,2881,904,277
2,6. la Sagrada Família,22314,3186,12674,4657,1392,405
2,7. la Dreta de l Eixample,18449,3140,9765,3850,1209,485
2,8. l Antiga Esquerra de l Eixample,18281,3038,9976,3731,1178,358
2,9. la Nova Esquerra de l Eixample,24687,3637,13803,5211,1543,493
2,10. Sant Antoni,16596,2662,9327,3300,964,343
3,11. el Poble Sec - Parc Montjuïc,16383,2861,8661,3266,1046,549
3,12. la Marina del Prat Vermell - Zona Franca,428,83,223,77,36,9
3,13. la Marina de Port,11677,1552,6228,2746,876,275
3,14. la Font de la Guatlla,4299,666,2388,922,249,74
3,15. Hostafrancs,6652,1064,3638,1391,400,159
3,16. la Bordeta,7512,961,4285,1669,441,156
3,17. Sants - Badal,10077,1347,5700,2138,661,231
3,18. Sants,17453,2650,9819,3575,1068,341
4,19. les Corts,19163,2547,10653,4365,1235,363
4,20. la Maternitat i Sant Ramon,9674,1184,5401,2251,665,173
4,21. Pedralbes,4285,465,2262,983,410,165
5,"22. Vallvidrera, el Tibidabo i les Planes",1528,215,716,379,152,66
5,23. Sarrià,8947,1198,4432,2124,845,348
5,24. les Tres Torres,5576,639,2687,1369,638,243
5,25. Sant Gervasi - la Bonanova,9230,1148,4619,2250,862,351
5,26. Sant Gervasi - Galvany,18567,2392,9789,4212,1634,540
5,27. el Putxet i el Farró,12263,1720,6708,2648,914,273
6,28. Vallcarca i els Penitents,6519,916,3626,1416,437,124
6,29. el Coll,3060,435,1701,701,187,36
6,30. la Salut,5448,702,3128,1192,329,97
6,31. la Vila de Gràcia,23306,3997,13351,4370,1197,391
6,32. el Camp d en Grassot i Gràcia Nova,14992,2046,8661,3128,933,224
7,33. el Baix Guinardó,10905,1437,6296,2347,650,175
7,34. Can Baró,3782,521,2142,824,231,64
7,35. el Guinardó,15136,2048,8703,3159,929,297
7,36. la Font d en Fargues,3703,427,2066,895,242,73
7,37. el Carmel,12833,1558,7393,2778,869,235
7,38. la Teixonera,4788,648,2747,1006,290,97
7,39. Sant Genís dels Agudells,2868,392,1669,581,169,57
7,40. Montbau,2141,285,1253,451,115,37
7,41. la Vall d Hebron,2204,256,1263,483,170,32
7,42. la Clota,177,29,93,36,11,8
7,43. Horta,10770,1265,6338,2325,663,179
8,44. Vilapicina i la Torre Llobeta,10458,1127,6073,2409,642,207
8,45. Porta,10135,1264,6000,2050,608,213
8,46. el Turó de la Peira,6126,744,3540,1159,446,237
8,47. Can Peguera,926,132,507,209,61,17
8,48. la Guineueta,6220,659,3700,1371,390,100
8,49. Canyelles,2788,255,1631,676,181,45
8,50. les Roquetes,5939,767,3171,1318,473,210
8,51. Verdun,5090,664,2947,1003,326,150
8,52. la Prosperitat,10691,1228,6322,2232,679,230
8,53. la Trinitat Nova,3001,448,1583,670,206,94
8,54. Torre Baró,717,105,323,170,86,33
8,55. Ciutat Meridiana,3585,412,1883,806,292,192
8,56. Vallbona,473,88,227,106,40,12
9,57. la Trinitat Vella,3513,529,1762,744,300,178
9,58. Baró de Viver,941,168,453,216,73,31
9,59. el Bon Pastor,4702,640,2523,1083,316,140
9,60. Sant Andreu,23243,2883,13366,5274,1397,323
9,61. la Sagrera,11695,1331,6736,2612,774,242
9,62. el Congrés i els Indians,5968,725,3457,1279,396,111
9,63. Navas,8834,965,5117,2022,555,175
10,64. el Camp de l Arpa del Clot,16332,2286,9482,3352,933,279
10,65. el Clot,10786,1415,5880,2547,763,181
10,66. el Parc i la Llacuna del Poblenou,5864,925,3184,1261,390,104
10,67. la Vila Olímpica del Poblenou,3554,586,1671,924,310,63
10,68. el Poblenou,13358,2040,7284,2952,874,208
10,69. Diagonal Mar i el Front Marítim del Poblenou,5264,890,2794,1174,325,81
10,70. el Besòs i el Maresme,8400,1138,4473,1901,597,291
10,71. Provençals del Poblenou,8005,1121,4318,1897,532,137
10,72. Sant Martí de Provençals,10675,1163,6287,2357,670,198
10,73. la Verneda i la Pau,11505,1212,6723,2571,764,235
